atomic_number,atomic_volume,boiling_point,en_ghosh,evaporation_heat,heat_of_formation,lattice_constant,specific_heat,atomic_mass,atomic_radius,electrical_resistivity,molar_volume,bulk_modulus,youngs_modulus,average_ionic_radius,density_of_solid,coefficient_of_linear_thermal_expansion
47,10.3,2485.0,0.1472165,254.1,284.9,4.09,0.237,107.8682,1.6,1.63e-08,10.27,100.0,83.0,1.0866666666666667,10490.0,1.89e-05
13,10.0,2740.0,0.150078,284.1,330.9,4.05,0.9,26.9815386,1.25,2.7e-08,10.0,76.0,70.0,0.675,2700.0,2.31e-05
79,10.2,3080.0,0.26137,340.0,368.2,4.08,0.129,196.966569,1.35,2.2e-08,10.21,220.0,78.0,1.07,19300.0,1.42e-05
29,7.1,2840.0,0.15117160000000002,304.6,337.4,3.61,0.385,63.546,1.35,1.72e-08,7.11,140.0,130.0,0.82,8920.0,1.65e-05
77,8.54,4403.0,0.25106,604.0,669.0,3.84,0.133,192.217,1.35,4.7e-08,8.52,320.0,528.0,0.765,22650.0,6.4e-06
28,6.6,3005.0,0.1472068,378.6,430.1,3.52,0.443,58.6934,1.35,7.2e-08,6.59,180.0,200.0,0.74,8908.0,1.34e-05
82,18.3,2013.0,0.17791099999999999,177.8,195.2,4.95,0.159,207.2,1.8,2.1e-07,18.26,46.0,16.0,1.1225,11340.0,2.89e-05
46,8.9,3413.0,0.1440276,372.4,376.6,3.89,0.244,106.42,1.4,1.08e-07,8.56,180.0,121.0,0.84625,12023.0,1.18e-05
78,9.1,4100.0,0.25690999999999997,470.0,565.7,3.92,0.133,195.084,1.35,1.06e-07,9.09,230.0,168.0,0.805,21090.0,8.8e-06
45,8.3,4000.0,0.1408379,494.0,556.0,3.8,0.244,102.9055,1.35,4.3e-08,8.28,380.0,275.0,0.745,12450.0,8.2e-06
90,19.8,5060.0,0.10277,513.7,602.0,5.08,0.113,232.03806,1.8,1.5e-07,19.8,54.0,79.0,1.08,11724.0,1.1e-05
70,24.8,1466.0,0.22119,159.0,155.6,5.49,0.145,173.04,1.75,2.5e-07,24.84,31.0,24.0,1.084,6570.0,2.63e-05
56,39.0,1910.0,0.1586786,142.0,179.1,5.02,0.192,137.327,2.15,3.4e-07,38.16,9.6,13.0,1.49,3510.0,2.06e-05
24,7.23,2945.0,0.13130529999999999,342.0,397.48,2.88,0.488,51.9961,1.4,1.27e-07,7.23,160.0,279.0,0.94,7140.0,4.9e-06
63,28.9,1870.0,0.189935,176.0,177.4,4.61,0.176,151.964,1.85,9e-07,28.97,8.3,18.0,1.1985000000000001,5244.0,3.5e-05
26,7.1,3023.0,0.13925320000000002,340.0,415.5,2.87,0.443,55.845,1.4,1e-07,7.09,170.0,211.0,0.8525,7874.0,1.18e-05
3,13.1,1118.15,0.105093,148.0,159.3,3.49,3.489,6.941,1.45,9.5e-08,13.02,11.0,4.9,0.9,535.0,4.6e-05
25,7.39,2235.0,0.1352844,221.0,283.3,8.89,0.477,54.938045,1.4,1.44e-06,7.35,120.0,198.0,0.6483333333333333,7470.0,2.17e-05
42,9.4,4885.0,0.1312672,590.0,658.98,3.15,0.251,95.94,1.45,5.5e-08,9.38,230.0,329.0,0.775,10280.0,4.8e-06
11,23.7,1156.1,0.093214,97.9,107.5,4.23,1.222,22.98976928,1.8,4.9e-08,23.78,6.3,10.0,1.16,968.0,7.1e-05
41,10.8,5015.0,0.1280782,680.0,733.0,3.3,0.268,92.90638,1.45,1.52e-07,10.83,170.0,105.0,0.82,8570.0,7.3e-06
73,10.9,5698.0,0.23458099999999998,758.0,782.0,3.31,0.14,180.94788,1.45,1.35e-07,10.85,200.0,186.0,0.82,16650.0,6.3e-06
23,8.35,3650.0,0.12733440000000001,460.0,515.5,3.02,0.485,50.9415,1.35,2e-07,8.32,160.0,128.0,0.7775,6110.0,8.4e-06
74,9.53,5930.0,0.2390504,824.0,851.0,3.16,0.133,183.84,1.35,5.4e-08,9.47,310.0,411.0,0.7666666666666666,19250.0,4.5e-06
4,5.0,3243.0,0.144986,309.0,324.0,2.29,1.824,9.012182,1.05,3.8e-08,4.85,130.0,287.0,0.59,1848.0,1.13e-05
20,29.9,1757.0,0.1154119,153.6,177.8,5.58,0.653,40.078,1.8,3.4e-08,26.2,17.0,20.0,1.14,1550.0,2.23e-05
48,13.1,1038.0,0.1504066,59.1,111.8,2.98,0.232,112.411,1.55,7e-08,13.0,42.0,50.0,1.09,8650.0,3.08e-05
27,6.7,3143.0,0.14323629999999998,389.1,426.7,2.51,0.456,58.933195,1.35,6e-08,6.67,180.0,209.0,0.7683333333333334,8900.0,1.3e-05
66,19.0,2835.0,0.20332999999999998,291.0,290.4,3.59,0.173,162.5,1.75,9.26e-07,19.01,41.0,61.0,1.131,8551.0,9.9e-06
68,18.4,3136.0,0.212261,317.0,316.4,3.56,0.168,167.259,1.75,8.6e-07,18.46,44.0,70.0,1.03,9066.0,1.22e-05
64,19.9,3539.0,0.1944,398.0,397.5,3.64,0.23,157.25,1.8,1.31e-06,19.9,38.0,55.0,1.075,7901.0,9.4e-06
72,13.6,5470.0,0.229987,575.0,618.4,3.2,0.146,178.49,1.55,3.4e-07,13.44,110.0,78.0,0.85,13310.0,5.9e-06
67,18.7,2968.0,0.20779499999999998,301.0,300.6,3.58,0.164,164.93032,1.75,8.14e-07,18.74,40.0,65.0,1.041,8795.0,1.12e-05
71,17.8,3668.0,0.22565,414.0,427.6,3.51,0.155,174.967,1.75,5.8e-07,17.78,48.0,69.0,1.001,9841.0,9.9e-06
12,14.0,1363.0,0.121644,131.8,147.1,3.21,1.025,24.305,1.5,4.4e-08,14.0,45.0,45.0,0.86,1738.0,8.2e-06
75,8.85,5900.0,0.24351639999999997,704.0,774.0,2.76,0.138,186.207,1.35,1.8e-07,8.86,370.0,463.0,0.7124999999999999,21020.0,6.2e-06
21,15.0,3104.0,0.11938330000000001,332.7,377.8,3.31,0.556,44.955912,1.6,5.5e-07,15.0,57.0,74.0,0.885,2985.0,1.02e-05
65,19.2,3296.0,0.198863,389.0,388.7,3.6,0.183,158.92535,1.75,1.15e-06,19.3,38.7,56.0,0.9815,8219.0,1.03e-05
22,10.6,3560.0,0.12336369999999999,422.6,473.0,2.95,0.523,47.867,1.4,4e-07,10.64,110.0,116.0,0.8516666666666667,4507.0,8.6e-06
81,17.2,1730.0,0.173447,162.4,182.2,3.46,0.128,204.3833,1.9,1.5e-07,17.22,43.0,8.0,1.3325,11850.0,2.99e-05
69,18.1,2220.0,0.2167244,232.0,232.2,3.54,0.16,168.93421,1.75,6.76e-07,19.1,45.0,74.0,1.095,9321.0,1.33e-05
39,19.8,3611.0,0.1216986,367.0,424.7,3.65,0.284,88.90585,1.8,6e-07,19.88,41.0,64.0,1.04,4472.0,1.06e-05
30,9.2,1180.0,0.15515179999999998,114.8,130.4,2.66,0.388,65.409,1.35,6e-08,9.16,70.0,108.0,0.88,7140.0,3.02e-05
